




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (5)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of oskar mRNA translation (GO:0007319)	9	2	.00	+	 > 100	3.77E-06	3.41E-03
regulation of oskar mRNA translation (GO:0046011)	16	2	.01	+	 > 100	1.25E-05	7.58E-03
follicle cell of egg chamber development (GO:0030707)	243	3	.09	+	34.13	5.23E-05	2.37E-02
actin cytoskeleton organization (GO:0030036)	266	3	.10	+	31.18	6.85E-05	2.92E-02
epithelial cell development (GO:0002064)	271	3	.10	+	30.60	7.24E-05	2.92E-02
actin filament-based process (GO:0030029)	282	3	.10	+	29.41	8.15E-05	3.11E-02
epithelial cell differentiation (GO:0030855)	327	3	.12	+	25.36	1.27E-04	4.59E-02
oogenesis (GO:0048477)	555	5	.20	+	24.90	1.03E-07	7.44E-04
female gamete generation (GO:0007292)	599	5	.22	+	23.07	1.50E-07	5.46E-04
anatomical structure formation involved in morphogenesis (GO:0048646)	548	4	.20	+	20.18	1.18E-05	7.81E-03
germ cell development (GO:0007281)	696	5	.25	+	19.86	3.19E-07	7.72E-04
cellular process involved in reproduction in multicellular organism (GO:0022412)	756	5	.27	+	18.28	4.84E-07	8.77E-04
gamete generation (GO:0007276)	893	5	.32	+	15.48	1.11E-06	1.62E-03
developmental process involved in reproduction (GO:0003006)	935	5	.34	+	14.78	1.40E-06	1.70E-03
sexual reproduction (GO:0019953)	1060	5	.38	+	13.04	2.63E-06	2.72E-03
multicellular organismal reproductive process (GO:0048609)	1226	5	.44	+	11.27	5.45E-06	4.39E-03
cell development (GO:0048468)	1339	5	.48	+	10.32	8.48E-06	6.15E-03
reproductive process (GO:0022414)	1450	5	.52	+	9.53	1.26E-05	7.05E-03
cell differentiation (GO:0030154)	1675	5	.61	+	8.25	2.60E-05	1.35E-02
cellular developmental process (GO:0048869)	1676	5	.61	+	8.25	2.61E-05	1.26E-02
